year;quarter;usdtry_q_avg;uefa_country_coeff;fifa_ranking
1993;2;0,011;12,5;55
1993;4;0,014;13;39
1994;2;0,032;13,5;42
1994;4;0,038;14,5;43
1995;2;0,043;15;46
1995;4;0,054;16,2;51
1996;2;0,078;17,5;30
1996;4;0,097;18;29
1997;2;0,145;19;35
1997;4;0,19;20,5;43
1998;2;0,26;21,5;52
1998;4;0,313;22;57
1999;2;0,41;23,5;33
1999;4;0,53;25;29
2000;2;0,61;26,5;29
2000;4;0,67;27,5;30
2001;2;1,15;28;23
2001;4;1,44;29,5;23
2002;2;1,55;30,5;12
2002;4;1,63;31;9
2003;2;1,42;31,5;7
2003;4;1,39;32;8
2004;2;1,48;32,5;7
2004;4;1,34;33;14
2005;2;1,35;33,5;16
2005;4;1,34;34;11
2006;2;1,53;34,5;14
2006;4;1,42;35;26
2007;2;1,31;35,5;22
2007;4;1,18;36,5;16
2008;2;1,22;37;20
2008;4;1,54;38;10
2009;2;1,54;38,5;12
2009;4;1,48;37,5;41
2010;2;1,56;36;29
2010;4;1,52;35;31
2011;2;1,6;34,5;24
2011;4;1,86;34;28
2012;2;1,81;33,5;33
2012;4;1,78;34;40
2013;2;1,88;34,5;54
2013;4;2,08;35,5;43
2014;2;2,12;36;39
2014;4;2,27;35,5;48
2015;2;2,68;34,5;57
2015;4;2,92;35;21
2016;2;2,9;35,5;18
2016;4;3,48;36;24
2017;2;3,53;36,5;25
2017;4;3,82;37;33
2018;2;4,58;36;38
2018;4;5,3;35;39
2019;2;5,82;34;37
2019;4;5,85;33;29
2020;2;6,82;32;29
2020;4;7,71;31;32
2021;2;8,59;30;39
2021;4;13,5;29;37
2022;2;16,4;28;42
2022;4;18,6;31,5;44
2023;2;23,1;32;41
2023;4;28,9;35,5;37
2024;2;32,5;38,6;26
2024;4;34,5;39;26